iter	Passed	Remaining
0	197	1578262
1	379	1517294
2	521	1390418
3	684	1367739
4	828	1324754
5	938	1250439
6	1122	1281823
7	1314	1313376
8	1484	1318313
9	1684	1345853
10	1895	1376338
11	2112	1405922
12	2326	1429059
13	2551	1455396
14	2721	1448604
15	2919	1456776
16	3047	1431155
17	3181	1410790
18	3314	1392108
19	3449	1376225
20	3595	1366182
21	3727	1351606
22	3845	1333619
23	3973	1320405
24	4095	1306581
25	4215	1292968
26	4321	1276023
27	4442	1264763
28	4567	1255314
29	4719	1253774
30	4835	1242989
31	4950	1232616
32	5075	1225248
33	5192	1216592
34	5305	1207355
35	5409	1196660
36	5523	1188744
37	5650	1183865
38	5768	1177539
39	5876	1169393
40	5995	1163887
41	6118	1159348
42	6260	1158509
43	6442	1164835
44	6574	1162252
45	6741	1165733
46	6870	1162625
47	7009	1161221
48	7212	1170330
49	7359	1170185
50	7502	1169413
51	7620	1164821
52	7757	1163125
53	7899	1162417
54	8023	1159060
55	8190	1161918
56	8324	1160092
57	8488	1162374
58	8626	1161135
59	8813	1166350
60	8977	1168414
61	9150	1171522
62	9290	1170455
63	9411	1167013
64	9584	1170099
65	9761	1173436
66	9902	1172509
67	10023	1169221
68	10158	1167642
69	10315	1168639
70	10467	1168922
71	10657	1173522
72	10835	1176592
73	10994	1177613
74	11207	1184238
75	11365	1185051
76	11520	1185378
77	11689	1187235
78	11869	1190104
79	12037	1191744
80	12188	1191573
81	12359	1193437
82	12465	1189006
83	12598	1187252
84	12758	1188056
85	12924	1189380
86	13092	1190808
87	13254	1191732
88	13430	1193794
89	13597	1195087
90	13760	1195966
91	13915	1196128
92	14086	1197664
93	14237	1197480
94	14394	1197797
95	14542	1197300
96	14699	1197650
97	14861	1198300
98	15062	1202077
99	15219	1202345
100	15394	1203957
101	15562	1205004
102	15739	1206781
103	15874	1205228
104	16045	1206488
105	16192	1205885
106	16353	1206339
107	16535	1208311
108	16707	1209543
109	16866	1209816
110	17001	1208329
111	17184	1210311
112	17359	1211629
113	17532	1212815
114	17699	1213586
115	17860	1213898
116	18001	1212900
117	18172	1213864
118	18327	1213804
119	18469	1212825
120	18629	1213075
121	18775	1212410
122	18913	1211235
123	19107	1213646
124	19271	1214128
125	19442	1215032
126	19619	1216263
127	19784	1216753
128	19955	1217591
129	20111	1217507
130	20270	1217598
131	20449	1218890
132	20613	1219323
133	20786	1220208
134	20964	1221371
135	21134	1222069
136	21317	1223506
137	21476	1223517
138	21642	1223966
139	21800	1223969
140	21935	1222635
141	22084	1222121
142	22244	1222177
143	22389	1221467
144	22532	1220626
145	22683	1220252
146	22850	1220709
147	22999	1220202
148	23180	1221408
149	23324	1220653
150	23464	1219692
151	23608	1218957
152	23750	1218080
153	23932	1219329
154	24082	1218907
155	24208	1217268
156	24360	1216949
157	24527	1217394
158	24672	1216697
159	24817	1216066
160	24981	1216334
161	25161	1217377
162	25348	1218744
163	25554	1221025
164	25740	1222278
165	25906	1222602
166	26069	1222745
167	26242	1223405
168	26427	1224593
169	26627	1226417
170	26783	1226252
171	26924	1225396
172	27100	1226112
173	27235	1224990
174	27370	1223837
175	27539	1224274
176	27722	1225263
177	27889	1225558
178	28085	1227147
179	28258	1227684
180	28426	1227988
181	28601	1228604
182	28792	1229893
183	28954	1229930
184	29166	1232087
185	29297	1230803
186	29450	1230484
187	29636	1231506
188	29785	1230983
189	29961	1231577
190	30126	1231718
191	30280	1231388
192	30438	1231240
193	30604	1231439
194	30756	1231063
195	30909	1230687
196	31049	1229834
197	31199	1229405
198	31343	1228683
199	31487	1227996
200	31646	1227925
201	31806	1227847
202	31955	1227356
203	32114	1227294
204	32292	1227905
205	32463	1228236
206	32655	1229388
207	32841	1230309
208	33019	1230876
209	33174	1230621
210	33370	1231851
211	33530	1231777
212	33706	1232257
213	33886	1232907
214	34071	1233711
215	34198	1232405
216	34366	1232603
217	34528	1232585
218	34703	1233019
219	34881	1233522
220	35037	1233279
221	35204	1233441
222	35389	1234192
223	35559	1234434
224	35717	1234245
225	35857	1233425
226	36030	1233773
227	36196	1233864
228	36322	1232590
229	36509	1233377
230	36657	1232850
231	36848	1233784
232	37022	1234147
233	37194	1234424
234	37352	1234231
235	37548	1235287
236	37710	1235210
237	37943	1237479
238	38157	1239095
239	38344	1239791
240	38540	1240816
241	38742	1242010
242	38921	1242457
243	39109	1243163
244	39242	1242156
245	39389	1241556
246	39558	1241694
247	39703	1241046
248	39861	1240818
249	40042	1241304
250	40192	1240829
251	40361	1240969
252	40533	1241147
253	40692	1240947
254	40827	1240037
255	40993	1240062
256	41184	1240832
257	41319	1239900
258	41465	1239329
259	41628	1239234
260	41808	1239683
261	42012	1240812
262	42193	1241253
263	42346	1240891
264	42502	1240584
265	42667	1240561
266	42824	1240305
267	42955	1239297
268	43162	1240470
269	43310	1239967
270	43492	1240406
271	43579	1238166
272	43766	1238767
273	43946	1239156
274	44100	1238811
275	44311	1240067
276	44489	1240416
277	44673	1240888
278	44863	1241537
279	45023	1241358
280	45188	1241307
281	45372	1241779
282	45522	1241328
283	45670	1240813
284	45813	1240193
285	45987	1240363
286	46167	1240742
287	46323	1240451
288	46467	1239831
289	46647	1240168
290	46809	1240039
291	46998	1240625
292	47177	1240944
293	47353	1241183
294	47526	1241335
295	47645	1240083
296	47786	1239393
297	47951	1239337
298	48133	1239711
299	48292	1239511
300	48445	1239150
301	48613	1239168
302	48804	1239766
303	48967	1239642
304	49132	1239581
305	49291	1239363
306	49469	1239650
307	49634	1239566
308	49825	1240147
309	49957	1239270
310	50140	1239659
311	50268	1238675
312	50458	1239211
313	50530	1236878
314	50705	1237056
315	50876	1237141
316	51030	1236816
317	51183	1236460
318	51343	1236256
319	51510	1236253
320	51678	1236263
321	51810	1235402
322	51974	1235327
323	52149	1235490
324	52325	1235690
325	52507	1236024
326	52678	1236086
327	52854	1236289
328	52998	1235725
329	53181	1236077
330	53327	1235555
331	53463	1234813
332	53606	1234242
333	53797	1234769
334	53863	1232433
335	53936	1230255
336	54079	1229699
337	54265	1230130
338	54336	1227940
339	54468	1227152
340	54637	1227174
341	54791	1226883
342	54944	1226565
343	55139	1227177
344	55344	1228000
345	55518	1228139
346	55678	1227974
347	55836	1227766
348	55970	1227024
349	56152	1227322
350	56289	1226659
351	56484	1227260
352	56651	1227240
353	56825	1227356
354	56984	1227175
355	57161	1227359
356	57237	1225391
357	57411	1225526
358	57558	1225081
359	57697	1224470
360	57861	1224390
361	58019	1224174
362	58191	1224257
363	58362	1224334
364	58540	1224529
365	58721	1224811
366	58905	1225127
367	59097	1225635
368	59280	1225943
369	59342	1223729
370	59481	1223135
371	59680	1223770
372	59866	1224143
373	60033	1224107
374	60208	1224237
375	60352	1223752
376	60527	1223884
377	60676	1223475
378	60739	1221358
379	60929	1221799
380	61090	1221647
381	61294	1222363
382	61506	1223226
383	61702	1223775
384	61951	1225345
385	62108	1225119
386	62351	1226564
387	62588	1227905
388	62768	1228090
389	62914	1227643
390	63069	1227349
391	63220	1227002
392	63412	1227436
393	63580	1227392
394	63678	1226005
395	63844	1225937
396	64014	1225954
397	64184	1225962
398	64312	1225155
399	64494	1225392
400	64629	1224739
401	64804	1224829
402	64984	1225024
403	65163	1225204
404	65339	1225325
405	65510	1225342
406	65676	1225267
407	65819	1224751
408	65990	1224772
409	66196	1225443
410	66372	1225547
411	66559	1225852
412	66717	1225637
413	66867	1225254
414	67065	1225756
415	67284	1226650
416	67345	1224649
417	67491	1224208
418	67673	1224421
419	67835	1224270
420	68011	1224377
421	68182	1224375
422	68347	1224269
423	68475	1223521
424	68666	1223877
425	68740	1222168
426	68912	1222193
427	69090	1222318
428	69272	1222525
429	69454	1222713
430	69639	1222974
431	69799	1222777
432	69930	1222088
433	70100	1222080
434	70267	1222006
435	70455	1222305
436	70623	1222258
437	70783	1222066
438	70965	1222249
439	71122	1222013
440	71307	1222246
441	71481	1222294
442	71539	1220376
443	71715	1220459
444	71903	1220746
445	72092	1221050
446	72287	1221449
447	72476	1221742
448	72665	1222035
449	72845	1222178
450	73015	1222152
451	73191	1222225
452	73289	1221007
453	73346	1219109
454	73501	1218827
455	73679	1218937
456	73861	1219113
457	74035	1219158
458	74206	1219154
459	74383	1219240
460	74527	1218783
461	74685	1218564
462	74871	1218808
463	75037	1218706
464	75113	1217156
465	75239	1216430
466	75473	1217426
467	75636	1217295
468	75856	1218077
469	76090	1219063
470	76203	1218127
471	76387	1218314
472	76565	1218408
473	76735	1218376
474	76918	1218551
475	77057	1218022
476	77208	1217697
477	77348	1217182
478	77517	1217130
479	77652	1216555
480	77825	1216566
481	77987	1216413
482	78163	1216464
483	78238	1214964
484	78446	1215515
485	78594	1215143
486	78783	1215402
487	78959	1215454
488	79145	1215673
489	79308	1215529
490	79486	1215609
491	79674	1215852
492	79870	1216197
493	80065	1216545
494	80152	1215234
495	80337	1215434
496	80486	1215071
497	80682	1215414
498	80883	1215844
499	81084	1216271
500	81255	1216240
501	81396	1215755
502	81565	1215700
503	81761	1216033
504	81834	1214546
505	82018	1214720
506	82121	1213678
507	82292	1213654
508	82470	1213721
509	82653	1213871
510	82836	1214018
511	83032	1214355
512	83229	1214691
513	83405	1214732
514	83472	1213184
515	83607	1212629
516	83761	1212361
517	83934	1212354
518	84100	1212252
519	84288	1212464
520	84464	1212492
521	84666	1212899
522	84846	1212998
523	84960	1212139
524	85042	1210846
525	85209	1210749
526	85360	1210435
527	85536	1210477
528	85678	1210024
529	85886	1210507
530	86061	1210539
531	86244	1210664
532	86315	1209231
533	86494	1209299
534	86580	1208079
535	86755	1208096
536	86995	1209026
537	87068	1207636
538	87247	1207704
539	87464	1208305
540	87689	1209006
541	87899	1209514
542	88170	1210841
543	88359	1211043
544	88533	1211034
545	88714	1211132
546	88885	1211088
547	89079	1211357
548	89272	1211604
549	89452	1211675
550	89631	1211733
551	89801	1211664
552	89951	1211337
553	90081	1210740
554	90261	1210807
555	90445	1210930
556	90596	1210614
557	90766	1210548
558	90929	1210390
559	91090	1210198
560	91278	1210375
561	91445	1210272
562	91643	1210572
563	91824	1210650
564	91989	1210511
565	92163	1210503
566	92295	1209934
567	92409	1209137
